DATE,NGMP14860
2001-01-01,59566.62
2002-01-01,60917.737
2003-01-01,61416.445
2004-01-01,66515.694
2005-01-01,70751.235
2006-01-01,74690.555
2007-01-01,80271.927
2008-01-01,82790.316
2009-01-01,79695.554
2010-01-01,79335.328
2011-01-01,76656.285
2012-01-01,81753.538
2013-01-01,81499.102
2014-01-01,82695.041
2015-01-01,86074.72
2016-01-01,87004.972
2017-01-01,88187.631
2018-01-01,90679.271
2019-01-01,93201.734
