,DATE,personal income,MSA,State,1_Year_change
85,2009-01-01,46606,New York-Newark-Jersey City,NY-NJ-PA,-0.0407327364412885
86,2010-01-01,46919,New York-Newark-Jersey City,NY-NJ-PA,0.006715873492683322
87,2011-01-01,48043,New York-Newark-Jersey City,NY-NJ-PA,0.023956179799228483
88,2012-01-01,49407,New York-Newark-Jersey City,NY-NJ-PA,0.028391232853901768
89,2013-01-01,49511,New York-Newark-Jersey City,NY-NJ-PA,0.002104964883518523
90,2014-01-01,51102,New York-Newark-Jersey City,NY-NJ-PA,0.032134273191815936
91,2015-01-01,52904,New York-Newark-Jersey City,NY-NJ-PA,0.03526280771789758
92,2016-01-01,53694,New York-Newark-Jersey City,NY-NJ-PA,0.0149327083018298
93,2017-01-01,55716,New York-Newark-Jersey City,NY-NJ-PA,0.03765783886467755
94,2018-01-01,56922,New York-Newark-Jersey City,NY-NJ-PA,0.021645487831143617
95,2019-01-01,58355,New York-Newark-Jersey City,NY-NJ-PA,0.025174800604335745
96,2008-01-01,42912,Worcester,MA-CT,
97,2009-01-01,42183,Worcester,MA-CT,-0.016988255033557054
98,2010-01-01,43134,Worcester,MA-CT,0.022544626982433646
99,2011-01-01,44101,Worcester,MA-CT,0.022418509760281813
100,2012-01-01,45120,Worcester,MA-CT,0.02310605201696103
101,2013-01-01,44457,Worcester,MA-CT,-0.01469414893617016
102,2014-01-01,45254,Worcester,MA-CT,0.0179274354994714
103,2015-01-01,47247,Worcester,MA-CT,0.04404030582931906
104,2016-01-01,48161,Worcester,MA-CT,0.01934514360700157
105,2017-01-01,48856,Worcester,MA-CT,0.014430763480824725
106,2018-01-01,49725,Worcester,MA-CT,0.017786965776977137
107,2019-01-01,50985,Worcester,MA-CT,0.025339366515837014
108,2008-01-01,40427,Bend-Redmond,OR,
109,2009-01-01,37692,Bend-Redmond,OR,-0.06765280629282411
110,2010-01-01,37653,Bend-Redmond,OR,-0.0010347023241006337
111,2011-01-01,39394,Bend-Redmond,OR,0.046238015563168984
112,2012-01-01,41470,Bend-Redmond,OR,0.05269838046402997
113,2013-01-01,42458,Bend-Redmond,OR,0.023824451410658254
114,2014-01-01,43658,Bend-Redmond,OR,0.028263224833953608
115,2015-01-01,47575,Bend-Redmond,OR,0.08972009711851214
116,2016-01-01,47804,Bend-Redmond,OR,0.004813452443510169
117,2017-01-01,48589,Bend-Redmond,OR,0.016421219981591406
118,2018-01-01,50375,Bend-Redmond,OR,0.036757290744818816
119,2019-01-01,50578,Bend-Redmond,OR,0.004029776674937979
120,2008-01-01,41823,San Diego-Carlsbad,CA,
121,2009-01-01,39739,San Diego-Carlsbad,CA,-0.049829041436530115
122,2010-01-01,39148,San Diego-Carlsbad,CA,-0.014872040061400638
123,2011-01-01,39854,San Diego-Carlsbad,CA,0.01803412690303463
124,2012-01-01,41049,San Diego-Carlsbad,CA,0.02998444321774474
125,2013-01-01,41927,San Diego-Carlsbad,CA,0.02138907159735925
126,2014-01-01,44004,San Diego-Carlsbad,CA,0.04953848355474988
127,2015-01-01,46043,San Diego-Carlsbad,CA,0.04633669666393958
128,2016-01-01,46728,San Diego-Carlsbad,CA,0.014877397215646182
