,DATE,Unemployement,unemp_1_Month_Change,unemp_1_Year_Change,HPI,HPI_1_Quarter_Change,HPI_1_Year_Change,Per_Capita_Income,Income_1_Year_Change,CLF,CLF_1_Year_Change,POP,POP_1_Year_Change,GDP,GDP_1_Year_Change,State,MSA,HPI_in_1_year,HPI_in_2_years,HPI_in_3_years
0,1996-01-01,5.3,0.261904762,-0.018518519,106.23,0.014710096,0.0623,0.045652,0.062885614,433.06,,,,,,CT,Bridgeport-Stamford-Norwalk,106.43,112.17,119.28
1,1996-02-01,5.1,-0.037735849,-0.019230768999999998,,,,,,432.054,-0.0023230037408211723,,,,,CT,Bridgeport-Stamford-Norwalk,,,
2,1996-03-01,4.8,-0.058823529000000006,-0.020408163,,,,,,436.224,0.009651571331361408,,,,,CT,Bridgeport-Stamford-Norwalk,,,
3,1996-04-01,4.5,-0.0625,-0.081632653,104.57,-0.015626471,0.028220256000000003,,,436.262,8.711120892024304e-05,,,,,CT,Bridgeport-Stamford-Norwalk,107.48,112.87,121.55
4,1996-05-01,4.8,0.066666667,-0.020408163,,,,,,440.028,0.008632427302859291,,,,,CT,Bridgeport-Stamford-Norwalk,,,
5,1996-06-01,4.8,0.0,-0.058823529000000006,,,,,,446.534,0.014785422745825283,,,,,CT,Bridgeport-Stamford-Norwalk,,,
6,1996-07-01,5.0,0.041666667000000004,-0.038461537999999997,104.84,0.002582002,0.010603432,,,453.299,0.01515002217076411,,,,,CT,Bridgeport-Stamford-Norwalk,107.91,114.87,124.79
7,1996-08-01,4.5,-0.1,-0.081632653,,,,,,447.644,-0.012475209519544395,,,,,CT,Bridgeport-Stamford-Norwalk,,,
8,1996-09-01,4.5,0.0,-0.042553191,,,,,,440.113,-0.016823636639829886,,,,,CT,Bridgeport-Stamford-Norwalk,,,
9,1996-10-01,4.3,-0.04444444400000001,-0.022727273,104.72,-0.001144601,0.00028656,,,444.195,0.009274890766689525,,,,,CT,Bridgeport-Stamford-Norwalk,109.21,116.42,125.41
10,1996-11-01,4.4,0.023255814,0.0,,,,,,444.365,0.0003827147986807944,,,,,CT,Bridgeport-Stamford-Norwalk,,,
11,1996-12-01,4.3,-0.022727273,0.023809524,,,,,,443.309,-0.0023764247859304755,,,,,CT,Bridgeport-Stamford-Norwalk,,,
12,1997-01-01,5.2,0.209302326,-0.018867925,106.43,0.016329259,0.0018827070000000002,0.048769,0.068277403,438.485,-0.010881800279263443,,,,,CT,Bridgeport-Stamford-Norwalk,112.17,119.28,130.72
13,1997-02-01,5.0,-0.038461537999999997,-0.019607843,,,,,,437.409,-0.00245390378234156,,,,,CT,Bridgeport-Stamford-Norwalk,,,
14,1997-03-01,4.7,-0.06,-0.020833333,,,,,,441.401,0.00912646973427611,,,,,CT,Bridgeport-Stamford-Norwalk,,,
15,1997-04-01,4.2,-0.106382979,-0.066666667,107.48,0.009865639,0.027828249,,,442.03,0.0014250080992113112,,,,,CT,Bridgeport-Stamford-Norwalk,112.87,121.55,134.77
16,1997-05-01,4.2,0.0,-0.125,,,,,,445.926,0.008813881410764113,,,,,CT,Bridgeport-Stamford-Norwalk,,,
17,1997-06-01,4.5,0.071428571,-0.0625,,,,,,454.558,0.019357471867529563,,,,,CT,Bridgeport-Stamford-Norwalk,,,
18,1997-07-01,4.3,-0.04444444400000001,-0.14,107.91,0.0040007440000000005,0.029282717000000003,,,459.152,0.010106521060018636,,,,,CT,Bridgeport-Stamford-Norwalk,114.87,124.79,138.63
19,1997-08-01,4.1,-0.046511628,-0.088888889,,,,,,453.619,-0.012050475659476478,,,,,CT,Bridgeport-Stamford-Norwalk,,,
20,1997-09-01,3.9,-0.048780488,-0.133333333,,,,,,444.507,-0.020087342020506216,,,,,CT,Bridgeport-Stamford-Norwalk,,,
21,1997-10-01,3.5,-0.102564103,-0.186046512,109.21,0.012047076,0.042876240999999995,,,444.593,0.00019347276870784746,,,,,CT,Bridgeport-Stamford-Norwalk,116.42,125.41,140.28
22,1997-11-01,3.4,-0.028571429,-0.22727272699999998,,,,,,445.678,0.0024404342848403093,,,,,CT,Bridgeport-Stamford-Norwalk,,,
23,1997-12-01,3.0,-0.117647059,-0.302325581,,,,,,443.481,-0.004929567984060301,,,,,CT,Bridgeport-Stamford-Norwalk,,,
24,1998-01-01,3.9,0.3,-0.25,112.17,0.027103745,0.053932162,0.053689,0.100883758,440.595,-0.006507606864781024,,,,,CT,Bridgeport-Stamford-Norwalk,119.28,130.72,144.22
25,1998-02-01,3.8,-0.025641026,-0.24,,,,,,438.648,-0.0044190242739931,,,,,CT,Bridgeport-Stamford-Norwalk,,,
26,1998-03-01,3.5,-0.078947368,-0.25531914899999997,,,,,,442.169,0.008026937316481408,,,,,CT,Bridgeport-Stamford-Norwalk,,,
27,1998-04-01,2.8,-0.2,-0.333333333,112.87,0.006240528,0.050148865,,,437.741,-0.010014270561708338,,,,,CT,Bridgeport-Stamford-Norwalk,121.55,134.77,147.86
28,1998-05-01,3.0,0.071428571,-0.28571428600000004,,,,,,443.659,0.013519409879357847,,,,,CT,Bridgeport-Stamford-Norwalk,,,
29,1998-06-01,3.2,0.066666667,-0.288888889,,,,,,450.194,0.014729781205836012,,,,,CT,Bridgeport-Stamford-Norwalk,,,
30,1998-07-01,3.2,0.0,-0.255813953,114.87,0.0177195,0.064498193,,,453.647,0.007670026699600596,,,,,CT,Bridgeport-Stamford-Norwalk,124.79,138.63,151.75
31,1998-08-01,2.9,-0.09375,-0.292682927,,,,,,448.489,-0.01137007408844326,,,,,CT,Bridgeport-Stamford-Norwalk,,,
