DATE,NGMP19100
2001-01-01,230410.024
2002-01-01,239100.962
2003-01-01,245066.686
2004-01-01,263772.155
2005-01-01,284456.508
2006-01-01,307562.122
2007-01-01,326986.827
2008-01-01,340573.587
2009-01-01,324428.447
2010-01-01,336217.27
2011-01-01,354989.304
2012-01-01,374743.312
2013-01-01,392917.447
2014-01-01,415238.962
2015-01-01,435857.522
2016-01-01,453858.011
2017-01-01,478176.22
2018-01-01,505768.515
2019-01-01,523861.973
